Date,variable,Actual,var,varmlp,bigvar,szbvar,szbvarnnx,szbvar_finetuned,tvar,bsvar,msvar,VES,VGARCH,Nbeatsx,LGBM,DTS_CB,DTS_XGB,NHITS,TSMixer,BRNN,XGB,CatBoost,TiDE,TFT,varnnx,SZBVAR_Nbeats_LGBM,BSVAR_SZBVAR_TVAR,LSTNetx,WLSTNetx
4/1/22,Unemploymentrate,5.5,5.5,5.69439171,7.40619195,5.967638372,5.930144539,6.030345432,5.956824935,5.7,7.44126419,8.476967701,5.749178052,6.556126853,7.649730525,6.240365,6.3883533,7.773738694,7.472951802,7.320886569,5.6693206,6.236980436,5.322662602,6.673400533,5.881928446,6.724498583,5.874821102,5.6659393,6.607791664
5/1/22,Unemploymentrate,5.1,5.62,5.71344837,7.399399975,6.207304367,6.632967596,6.293371845,6.44920975,5.7,7.442102553,8.399549376,5.776198754,7.442525307,7.796320869,6.2962008,7.1783237,6.346509969,7.564751807,7.335874432,6.660706,6.607525388,5.024304993,6.094607592,5.274214396,7.148716848,6.118838039,5.8948,6.220149758
6/1/22,Unemploymentrate,4.7,5.88,5.73290216,7.39413496,6.418217071,7.687478166,6.541315513,6.450159218,5.7,7.441853443,8.326932334,5.803061388,7.463800035,7.695386079,6.5696206,6.8638334,6.316691603,7.578892832,7.350077071,6.300299,6.930221691,4.715714372,7.348065362,5.800249309,7.192467728,6.189458763,5.3347383,6.654227313
7/1/22,Unemploymentrate,5.2,6.02,5.75236009,7.386376863,6.405897262,7.412260706,6.589111427,6.105716888,5.7,7.440959916,8.258818812,5.829766879,3.515382234,7.81198644,7.06454,7.088419,6.670621042,7.349960027,7.358153874,7.8439665,6.992478661,5.790279704,7.314852514,6.165562193,5.911088645,6.07053805,5.290123,6.222924194
8/1/22,Unemploymentrate,6,6.18,5.77181806,7.379833139,6.4588329,6.530457067,6.674964232,6.553793193,5.7,7.442184375,8.194929514,5.856316147,3.426238278,8.022048973,7.175784,7.053927,8.566697982,7.478348906,7.369778713,7.222574,6.905552388,7.816168778,7.514525731,6.146671841,5.96904005,6.237542031,5.888169,7.260085785
9/1/22,Unemploymentrate,4.8,6.29,5.79127604,7.376984325,6.429614619,5.977446499,6.673100715,6.798057046,5.7,7.442184468,8.135002465,5.882710105,5.61325365,7.859525182,7.516328,6.984058,6.941369727,7.486640734,7.365736491,7.9869266,7.202740968,5.24723098,5.685457352,6.45325613,6.63413115,6.309223888,6.0118594,7.082495813
10/1/22,Unemploymentrate,4.7,6.41,5.81073401,7.373507496,6.508089031,6.57781763,6.763437523,6.723976308,5.7,7.442184989,8.078791935,5.908949661,5.594866649,7.224270085,7.1390047,6.8320074,5.171687582,7.613522168,7.355206795,7.674662,7.521564999,5.946019684,7.705925414,6.610623577,6.442408588,6.310688446,5.622525,6.69499915
11/1/22,Unemploymentrate,4.7,6.55,5.83019199,7.369091111,6.562656234,6.78291236,6.804643783,6.588964666,5.7,7.442183828,8.026067437,5.93503572,9.347354693,6.732736183,6.984044,6.380604,3.900311038,7.537126619,7.346081609,7.623727,8.078036885,7.463209668,6.141803249,6.446718928,7.54758237,6.283873633,5.4404674,6.708752746
12/1/22,Unemploymentrate,4.5,6.59,5.84964996,7.364041857,6.538235633,6.731737551,6.784494436,6.469372225,5.7,7.442184683,7.976612774,5.960969179,6.847640085,7.226669805,7.616603,7.1504965,5.209570222,8.024523372,7.345277883,9.030525,8.454841495,6.234169129,8.013097487,6.788964833,6.870848508,6.235869286,5.4590096,6.891178763
1/1/23,Unemploymentrate,5.5,6.66,5.86910793,7.354952203,6.557491564,6.43049871,6.806102951,6.37681557,5.7,7.442184683,7.930225162,5.98675093,8.923684174,7.519820834,7.310067,6.4351463,6.664572345,7.883111835,7.343355131,7.856698,8.09873269,6.834741288,5.844837408,6.825808516,7.666998857,6.211435711,5.911319,7.225316864
2/1/23,Unemploymentrate,5.3,6.68,5.88856591,7.346144006,6.517813297,6.229338406,6.76365768,6.343172496,5.7,7.442184684,7.886714389,6.012381862,7.090415812,6.82654466,6.913012,7.0966845,6.538220629,7.866483632,7.339383041,7.3847947,7.328231786,7.043516712,5.655509007,6.773385369,6.811591256,6.186995264,6.2225676,7.595278526
3/1/23,Unemploymentrate,5.4,6.74,5.90802388,7.336998941,6.562786826,6.542765957,6.794173669,6.409059301,5.7,7.442184683,7.845902041,6.037862856,3.178596138,7.148773711,7.0917683,6.5784483,7.117485717,7.845347231,7.342162445,8.501191,6.824222582,8.109945728,7.708072539,6.837153154,5.630052225,6.223948709,6.217335,7.527895789
4/1/23,Unemploymentrate,5.2,6.75,5.92748185,7.329683148,6.505391495,6.514968854,6.730065098,6.743576928,5.7,7.442184683,7.807620768,6.063194789,9.420655519,7.949330772,6.653803,7.97033,6.761587459,7.991671366,7.336212432,7.224422,6.992900559,8.095537285,6.441589181,6.886102333,7.958459262,6.316322808,6.339941,7.413075656
5/1/23,Unemploymentrate,5.2,6.71,5.94693983,7.323583096,6.380100535,6.439853026,6.609759173,6.87909569,5.7,7.442184683,7.771713601,6.088378534,4.956441584,7.637289574,6.736117,7.4246206,7.362122583,8.169040815,7.332259174,7.2254024,6.627811558,7.53864846,6.269535795,6.917120658,6.324610564,6.319732075,6.408982,7.319902948
6/1/23,Unemploymentrate,5.2,6.7,5.9663978,7.317154561,6.346923986,6.237257084,6.558426668,6.92021919,5.7,7.442184683,7.738033303,6.113414957,3.954155873,7.628688227,6.645692,6.6861496,7.338504539,8.016642314,7.329111429,7.134516,6.553872915,6.030941448,7.281772756,6.869782273,5.976589362,6.322381059,6.455221,7.403971403
7/1/23,Unemploymentrate,5.9,6.67,5.98585578,7.309467733,6.349391381,6.328827646,6.494193036,6.923299796,5.7,7.442184683,7.70644177,6.138304921,8.823935285,7.342026202,7.4119806,8.09585,7.794978299,7.866514305,7.316591582,8.325153,7.095378625,6.66336125,7.039916983,6.939346719,7.505117623,6.324230392,6.538983,7.772399843
8/1/23,Unemploymentrate,6.3,6.61,6.00531375,7.303305094,6.312929338,6.173933032,6.418325154,6.908931256,5.7,7.442184683,7.676809461,6.163049282,7.33401932,7.690467,7.455779,8.649357,8.608484709,8.068656647,7.312794867,7.924669,7.264588533,7.796108021,5.660353887,6.808419921,7.112471886,6.307286865,6.5080137,7.71283856
9/1/23,Unemploymentrate,5.2,6.59,6.02477172,7.298052169,6.382682955,6.378692622,6.41851145,6.885333156,5.7,7.442184683,7.649014872,6.187648891,5.639799133,7.729386783,7.5588164,8.138703,6.760879363,7.745616586,7.303336438,7.957967,7.343392834,7.645727399,7.041731872,6.901433233,6.58395629,6.322672037,6.2689023,7.131719875
10/1/23,Unemploymentrate,5.3,6.58,6.0442297,7.292163785,6.389383309,6.363298378,6.371999529,6.856836661,5.7,7.442184683,7.62294403,6.212104596,9.950792175,6.700022566,7.295013,6.9301414,6.77196179,7.76378255,7.288794994,8.303443,7.054261601,7.218736345,6.123273804,6.804559631,7.680066017,6.315406657,6.0413413,6.744415313
11/1/23,Unemploymentrate,5.3,6.48,6.06368767,7.285328379,6.316901284,6.323447006,6.244992978,6.826184944,5.7,7.442184683,7.598490035,6.236417238,5.179398502,6.607079238,7.045519,6.4669027,6.331243929,7.883081028,7.274783178,9.180426,7.507999263,7.749100987,6.351836797,6.739743443,6.034459675,6.281028743,5.9453273,6.757195345
12/1/23,Unemploymentrate,5.3,6.49,6.08314564,7.279091006,6.414375494,6.422405581,6.260798879,6.795195828,5.7,7.442184683,7.575552612,6.260587654,7.496780882,6.951351086,7.476838,7.099271,7.332716,7.854155997,7.269689912,9.055499,7.768708119,7.588781748,5.717574636,6.82139591,6.954169154,6.303190441,5.950082,6.812996969
1/1/24,Unemploymentrate,6.1,6.48,6.10260362,7.269738346,6.460575691,6.467536071,6.272135585,6.765056459,5.7,7.442184683,7.554037709,6.284616677,5.363581857,7.133549476,7.844142,7.331561,9.3568876,7.925692785,7.268334783,7.720898,7.49414558,8.320686789,6.302012518,6.849021451,6.319235675,6.30854405,5.9571447,7.137926207
2/1/24,Unemploymentrate,6,6.26,6.12206159,7.260356731,6.228745182,6.217623947,6.100199643,6.736513258,5.7,7.442184683,7.533857105,6.308505133,8.013364334,7.259479071,7.3307037,6.58797,7.856782113,7.824247396,7.254748621,6.321878,7.647003795,6.708420542,5.638357509,6.367759719,7.167196196,6.221752813,5.911886,7.191676725
3/1/24,Unemploymentrate,6.4,6.09,6.14151956,7.251874863,6.088176023,6.052611074,5.988435929,6.710006497,5.7,7.442184683,7.514928049,6.332253845,3.662503029,6.810164386,6.991167,6.296046,8.674587989,7.820478874,7.2379713,7.8607025,7.073197955,7.270355626,6.619695211,6.37076961,5.520281146,6.16606084,5.832939,6.870159788
4/1/22,RealbroadEER,105.92,104.4651249,105.141668,106.8067183,103.7702948,105.1739504,103.9168254,106.0281421,105.09,106.7029324,96.24889828,105.4316012,102.0255823,104.8409943,104.20836,103.71451,101.0885234,128.9911764,33.61831014,102.31526,103.9675133,102.6795421,113.311096,103.8757625,103.5456238,104.9628123,104.92417,112.40224
5/1/22,RealbroadEER,105.85,103.4027445,105.1289343,106.8276679,102.5081161,102.7454568,102.9506492,103.7393938,103.69,106.7056806,96.25790707,105.3654621,104.2606955,106.1940365,104.04706,102.8584,100.868386,127.914805,34.22431368,103.00791,104.2578626,102.8704532,121.3579214,104.0284403,104.3209494,103.3125033,104.817696,111.8087057
6/1/22,RealbroadEER,105.93,102.197427,105.1151641,106.8533572,101.247823,101.7590626,101.9000877,104.3666768,104.39,106.7027836,96.26420234,105.2999258,99.77151213,106.2131313,103.4787,108.35039,98.6444349,127.3550185,33.69471316,99.036644,103.834935,104.8414651,124.449428,102.2534994,102.4108221,103.3348333,104.685356,112.1130325
7/1/22,RealbroadEER,105.72,101.3451096,105.1013832,106.8745751,100.4988425,102.2066181,101.3814349,105.1024945,104.04,106.7047231,96.26860144,105.2349869,101.6709179,105.0534149,104.40901,107.56642,98.23141093,126.0810277,34.74236309,102.01615,105.4737222,103.1984023,121.0266069,101.9623613,102.4077251,103.213779,104.53357,111.8375853
8/1/22,RealbroadEER,105.55,100.4806254,105.0876022,106.8931032,99.64874779,101.5396262,100.6953848,103.5447212,104.215,106.7052894,96.27167549,105.1706399,104.5861134,104.4461604,104.777695,109.783455,97.08241155,128.3695775,33.95604178,105.742645,106.1287839,103.6736929,104.2338298,100.8618227,102.8936739,102.4694897,104.8104,111.768123
9/1/22,RealbroadEER,103.21,100.2200104,105.0738211,106.9094905,99.43625146,101.3458091,100.6162122,103.7073903,104.1275,106.7052929,96.27382361,105.1068795,106.0517794,103.8445329,105.77971,106.69267,95.31926914,125.6613321,33.20635387,102.48475,105.5539231,101.4459752,120.3307399,100.2620384,103.1108546,102.4237139,104.71563,109.5933063
10/1/22,RealbroadEER,101.14,99.42895108,105.0600401,106.9265168,98.59685659,100.019726,99.96338534,104.0530789,104.17125,106.7052891,96.27532471,105.0437001,103.0273858,105.5972274,106.380745,101.37105,90.12823752,126.9415701,33.26328101,106.42051,105.8671484,97.14145448,124.1097695,100.0813336,102.4071566,102.2737285,104.887825,108.9955482
11/1/22,RealbroadEER,102.38,99.26114996,105.046259,106.9431314,98.46425277,98.99650355,99.95117228,104.3727352,104.149375,106.7052913,96.27637366,104.9810967,99.66733284,105.8244787,106.68541,99.33157,88.20260315,126.0999717,33.12634056,104.18994,105.8822538,95.5357377,120.9183845,99.43660306,101.3186881,102.3287877,104.79772,108.310515
12/1/22,RealbroadEER,99.71,98.94538158,105.032478,106.9638222,98.14405997,97.88682276,99.72981896,104.6494381,104.1603125,106.7052913,96.27710666,104.9190639,99.55040608,103.1480731,106.26664,102.10552,84.49597033,124.7084039,34.24887223,106.80582,107.787925,96.32845975,121.2601381,99.44440338,100.2808464,102.3179369,103.81277,107.075098
1/1/23,RealbroadEER,99.73,98.3736308,105.0186969,106.9844222,97.5798523,97.54235847,99.21622245,104.8970674,104.1548438,106.7052913,96.27761888,104.8575964,98.30310565,106.2778736,106.48357,103.939804,84.31516892,124.525853,33.40072344,103.297485,108.3076994,94.1936757,120.6920612,98.92046262,100.7202772,102.2105878,103.50547,107.1540399
2/1/23,RealbroadEER,99.82,97.80208354,105.0049159,107.0079034,97.11845356,97.54411678,98.84369338,104.3760301,104.1575781,106.7052913,96.27797681,104.7966893,100.1327429,105.5326867,106.92384,106.701324,83.71693343,121.1254589,33.37154016,106.76834,108.5229553,92.12761605,120.2567711,98.37005232,100.9279611,101.8840206,103.83934,107.5409018
3/1/23,RealbroadEER,98.44,96.95549421,104.9911349,107.0290734,96.37186984,97.64113093,98.19679366,103.6458183,104.1562109,106.7052913,96.27822693,104.7363373,99.43401492,104.3144603,108.693,106.94652,81.84491924,121.3510413,34.69557643,106.17053,108.9985803,90.29813867,112.242614,97.61107512,100.040115,101.3912997,104.705,106.8643764
4/1/23,RealbroadEER,99.75,96.30467359,104.9773538,107.0492253,95.91279276,96.91915621,97.78755139,103.5953748,104.1568945,106.7052913,96.27840171,104.6765354,103.610611,102.8901414,107.9969,106.378204,83.85997297,123.0130129,34.40266275,101.03846,108.3047134,93.55593219,117.966169,96.79641887,100.8045151,101.2216874,104.67779,107.9942669
5/1/23,RealbroadEER,100.09,96.11007698,104.9635728,107.0712663,95.86100898,95.93263314,97.6926507,103.6981835,104.1565527,106.7052913,96.27852385,104.6172786,102.2106104,101.1484757,107.61284,110.14836,86.9839712,123.5521022,32.89304464,99.54499,106.9962872,94.64817126,123.9068308,96.72832265,99.74003169,101.2385817,104.24176,109.2454171
6/1/23,RealbroadEER,101.92,95.94184116,104.9497917,107.0923538,95.69494221,95.24277409,97.4541122,103.8456812,104.1567236,106.7052913,96.2786092,104.5585619,98.6348685,104.827469,106.502655,113.63219,89.19825614,123.68799,33.9498348,101.94783,107.1778539,94.92380052,119.2068486,96.77996356,99.71909324,101.232449,103.47645,110.6550664
7/1/23,RealbroadEER,102.53,95.98266486,104.9360107,107.1149617,95.752828,95.8225566,97.58057842,104.0087547,104.1566382,106.7052913,96.27866884,104.5003804,103.2859451,104.1532769,108.41779,109.78447,91.00893543,125.0236734,33.41582996,103.853546,107.8388603,95.76220529,123.0891356,96.04426162,101.0640167,101.3060736,102.68053,111.2617461
8/1/23,RealbroadEER,101.05,95.90934128,104.9222296,107.1396829,95.66347499,95.88373112,97.46830768,104.1828899,104.1566809,106.7052913,96.27871051,104.4427292,103.5862215,103.9303317,109.3378,109.764206,92.809851,124.3076129,35.47707828,105.15217,108.4108847,97.44007738,120.2097804,96.34372199,101.0600094,101.3343486,102.05878,110.8352449
9/1/23,RealbroadEER,100.86,95.52934014,104.9084486,107.1640473,95.29360351,95.48710543,97.2134863,104.3663505,104.1566595,106.7052913,96.27873964,104.3856035,100.7854237,101.3684938,109.65387,118.25256,92.82856273,123.4942696,34.2254969,107.77314,110.3585089,99.16007211,121.3072311,96.20100227,99.14917367,101.2722045,101.692535,110.3429752
10/1/23,RealbroadEER,100.16,95.41496894,104.8946675,107.1837502,95.23155902,95.10456617,97.10997588,104.5569941,104.1566702,106.7052913,96.27875999,104.3289984,102.5937344,102.0472383,109.93083,107.66638,94.02986642,123.3842114,34.07264412,103.07371,110.1696712,100.8146838,114.9831286,96.03488328,99.95751057,101.3150744,101.292435,109.8632346
11/1/23,RealbroadEER,99.56,95.59808627,104.8808865,107.2000467,95.46435167,95.17587678,97.34349345,104.7526342,104.1566649,106.7052913,96.27877421,104.2729094,101.8233865,102.6773074,110.884895,109.68005,94.02940839,125.1198851,33.61855742,108.38597,111.6831591,99.75540443,120.2966248,95.49316505,99.98834852,101.4578836,100.76372,109.7590569
12/1/23,RealbroadEER,100.85,95.91524882,104.8671055,107.2213471,95.69014577,95.6701249,97.57215093,104.9513874,104.1566676,106.7052913,96.27878415,104.2173315,104.2879025,100.7184026,111.31642,119.72525,95.56102657,124.2585486,33.20581858,120.28108,111.1813436,106.9828336,121.8962967,95.95136907,100.2321503,101.5994003,100.41518,110.2022097
1/1/24,RealbroadEER,100.68,96.14556967,104.8533244,107.2389364,95.80934554,95.81892289,97.58014999,105.1517447,104.1566662,106.7052913,96.27879109,104.1622603,107.5399259,103.550986,111.15469,121.79675,97.17722073,121.7720254,34.39572477,107.877106,111.807274,104.2064791,111.6343101,96.66050192,102.3000858,101.7059188,100.2921,110.2884462
2/1/24,RealbroadEER,100.03,96.09968251,104.8395434,107.2559919,95.79958463,95.85933712,97.50540182,105.3525292,104.1566669,106.7052913,96.27879594,104.107691,96.28337577,105.1546603,108.725296,122.66998,99.22493591,121.2247396,32.78890599,106.72743,111.7598971,100.3299281,126.2228686,96.37750649,99.0792069,101.7695936,100.3799,109.9741858
3/1/24,RealbroadEER,99.79,96.12762358,104.8257623,107.2764749,95.84675764,95.73709074,97.60601191,105.5528323,104.1566666,106.7052913,96.27879933,104.0536191,107.7021203,104.3202051,107.94879,112.20239,102.2489893,120.6113672,34.01788416,106.775154,110.3498916,101.0150714,122.6257301,96.16390666,102.6230277,101.8520855,100.6855,110.5970999
4/1/22,ShorttermIR,1.35,1.001476094,0.860443656,2.545232198,0.907518309,0.994359216,0.877423258,1.13950576,0.88,2.611900264,1.006733845,0.986608537,1.251659288,0.983580432,1.6106491,1.085798,7.030788415,2.185160819,2.703334289,1.1735177,1.701867064,0.546086775,0.37530342,0.95864028,1.04758601,0.97567469,0.86102086,1.64090828
5/1/22,ShorttermIR,1.78,1.000287625,0.837314556,2.529706601,0.905598336,1.022894063,0.873647324,1.176048424,0.62,2.612145502,0.891682772,0.996223522,-0.513191307,1.051599927,1.714329,1.3475066,6.018205151,1.510087507,2.681724166,1.0844774,1.773282512,2.128686612,0.468190344,0.998066457,0.481335652,0.90054892,1.2283387,1.465056879
6/1/22,ShorttermIR,2.25,0.928816133,0.814127995,2.515711885,0.920997377,1.070878527,0.880990905,1.197652722,0.75,2.612068312,0.800646428,1.005824669,4.352071824,1.206445709,1.7115158,1.3495479,6.509089479,1.959376682,2.659944981,0.8797936,1.700530769,0.800575975,4.031536346,0.983671035,2.159838303,0.9562167,1.6477408,1.703609961
7/1/22,ShorttermIR,3.03,0.833005817,0.790940835,2.502850312,0.938367332,6.253517541,0.903582958,1.224797275,0.685,2.61195956,0.728612195,1.015412,1.186774168,1.494533245,1.6246259,1.1876385,8.337172593,2.071546085,2.63883238,1.0572777,1.56256631,1.45241745,3.925854822,0.89300154,1.206558248,0.949388202,1.8187623,2.304581003
8/1/22,ShorttermIR,3.38,0.738718302,0.767753668,2.490196598,0.98619315,2.272717808,0.945382058,1.155138077,0.7175,2.613235024,0.671613742,1.024985533,-0.846417643,1.583929096,1.8378392,1.5259775,8.547737426,1.937869425,2.618216375,1.5076529,1.714170848,3.538326369,1.177282591,0.837117994,0.574568201,0.952943742,1.9638559,2.478186389
9/1/22,ShorttermIR,3.79,0.647114406,0.744566502,2.47719411,0.99566314,0.700405251,0.958831776,1.114885701,0.70125,2.613235342,0.626512635,1.034545289,-0.342500652,1.864197862,1.7645712,1.2347747,8.368407765,1.737272397,2.600590613,1.5072695,1.646163745,2.017502504,1.065852945,0.784880819,0.839120117,0.93726628,2.1542058,2.735218906
10/1/22,ShorttermIR,4.23,0.550770211,0.721379335,2.464120408,1.0152452,2.177081998,0.981871145,1.102640476,0.709375,2.613235192,0.590825529,1.044091288,1.77860297,1.944678924,1.6050417,1.36621,7.398431579,1.696694738,2.584318664,1.6771739,1.513298521,2.029252723,1.036130226,0.684192413,1.579509031,0.942420225,2.273874,2.97464362
