Date,variable,Actual,var,varmlp,bigvar,szbvar,szbvarnnx,szbvar_finetuned,tvar,bsvar,msvar,VES,VGARCH,Nbeatsx,LGBM,DTS_CB,DTS_XGB,NHITS,TSMixer,BRNN,XGB,CatBoost,TiDE,TFT,varnnx,SZBVAR_Nbeats_LGBM,BSVAR_SZBVAR_TVAR,LSTNetx,WLSTNetx
4/1/23,Unemploymentrate,3.1,2.912628422,2.880006996,6.72,2.881729891,2.77865157,2.893242358,2.927361492,2.9,1.369213111,2.996048747,2.897548541,4.656237935,3.722120101,4.81322,4.9080706,9.355651653,5.18909573,6.831237017,3.9542875,5.322612436,2.93178081,6.127906278,2.991950733,3.753362642,2.903030461,2.9512281,6.17085046
5/1/23,Unemploymentrate,2.8,2.841562645,2.861051997,6.716179104,2.862900978,1.985861739,2.885656252,2.958788834,3,1.82780512,2.995759884,2.900828664,3.248266688,4.005093842,5.0852447,5.2490253,10.25371069,5.098849305,6.8113648,4.2431326,5.451104925,2.838603547,5.709558779,2.879309783,3.372087169,2.940563271,3.3709786,5.7107288
6/1/23,Unemploymentrate,3,2.868751458,2.842241489,6.712048296,2.864959363,3.137786565,2.891177708,2.98891392,2.95,1.046253918,2.995488344,2.904106863,7.481355968,4.191263165,5.092715,5.191183,8.27675847,4.750346082,6.791374247,5.864269,5.376771148,6.572366425,6.601109212,2.895697795,4.845859499,2.934624428,3.6148486,5.431860319
7/1/23,Unemploymentrate,3,2.858105577,2.823294613,6.707905156,2.860899783,2.704985238,2.898927851,3.040724868,2.975,1.302340337,2.995233089,2.90738314,5.184633207,4.168840634,5.241519,5.0885324,9.438551258,4.721388979,6.775139034,6.085317,5.653189902,2.978802591,6.55499658,2.898011947,4.071457875,2.958874884,3.6759405,6.009419072
8/1/23,Unemploymentrate,3.2,2.843952902,2.8043468,6.703451142,2.848165937,2.117289967,2.897077151,3.114522571,2.9625,0,2.994993142,2.910657497,3.250815094,3.949241131,5.0712047,5.0624704,7.835216576,4.461989473,6.75575529,6.141932,5.63085845,-0.17062621,6.850435519,2.761873223,3.349407387,2.975062836,3.628091,6.497129062
9/1/23,Unemploymentrate,3,2.844315215,2.78539898,6.699580847,2.850023113,1.775313982,2.909218972,3.210275176,2.96875,0.331308954,2.994767584,2.913929933,4.543966569,4.284547934,4.9913783,4.950662,8.855143295,4.355712901,6.736624312,6.636237,5.37338924,5.098313811,5.304753615,2.855438356,3.892845872,3.009682763,3.7706926,5.856493237
10/1/23,Unemploymentrate,3.2,2.871077466,2.76645116,6.695698999,2.896364532,2.279275106,2.954618745,3.325882907,2.965625,0,2.994555553,2.917200451,6.77922015,4.354136144,4.922424,4.3647614,7.802005403,4.114606394,6.727551452,6.587625,5.57605756,3.631241371,6.909145111,2.882529476,4.676573609,3.062624146,3.4737387,6.023802445
11/1/23,Unemploymentrate,3.1,2.902073779,2.74750334,6.691208548,2.943213192,3.252247272,2.999812905,3.459297132,2.9671875,0,2.994356238,2.920469051,6.091105665,4.18331263,5.2052584,4.664225,8.313768028,4.106815757,6.711965954,6.2681117,5.484586978,3.072770129,5.583388742,2.867178354,4.405877162,3.123232608,3.4888713,6.091881692
12/1/23,Unemploymentrate,2.9,2.900690913,2.72855552,6.68580917,2.959905962,2.452046313,3.012705606,3.608535093,2.96640625,0,2.994168875,2.923735734,3.538885216,4.982955451,5.5167265,4.3377824,7.476662384,4.203236262,6.691121978,6.2939286,5.526294965,7.789174042,6.898840735,2.915251526,3.827248876,3.178282435,3.538476,5.824114591
1/1/24,Unemploymentrate,3.2,3.019509969,2.7096077,6.679498153,3.114716959,3.126616773,3.134405567,3.771741831,2.966796875,0,2.993992749,2.927000503,-0.073061626,5.591113866,5.31593,5.3254185,8.446800166,4.357592493,6.676951229,5.65301,5.522718629,4.267674545,4.905774732,3.025392577,2.877589733,3.284418555,3.6377802,5.985071304
2/1/24,Unemploymentrate,3.6,3.024176216,2.69065988,6.672272774,3.117652621,3.192978985,3.128282215,3.94708292,2.966601563,0,2.993827185,2.930263356,1.492257601,6.20518678,5.367469,4.7382064,7.952916277,4.496374805,6.655541568,5.4930377,5.718933276,6.085187838,5.164786543,3.027782909,3.605032334,3.343779035,3.4939556,6.128233175
3/1/24,Unemploymentrate,3.5,3.030663371,2.67171206,6.66472732,3.158979099,3.533047546,3.158548882,4.132650411,2.966699219,0,2.99367155,2.933524297,7.137676188,6.04313825,5.374502,6.7416716,8.260425568,4.788159934,6.630311242,5.582814,5.54466481,4.822208139,6.731573395,3.049858368,5.446597846,3.41944291,3.3754406,5.892290843
4/1/23,RealbroadEER,100.27,99.85791764,99.35961285,104.9553433,99.29247974,99.39808299,99.25901743,99.71460703,99.41,95.88388804,98.49232997,99.56117795,101.2830684,98.73823492,99.50989,98.8831,97.23668021,100.2313084,36.55794492,99.52288,99.41899135,99.08727441,103.7634196,99.7847111,99.77126102,99.47236226,98.17439,103.5168362
