date,year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/23,202304,CPIinflationrate,4.41,4.274800398,4.195276117,4.159415046
5/1/23,202305,CPIinflationrate,3.36,4.221312262,4.130208555,3.826556366
6/1/23,202306,CPIinflationrate,2.81,4.183474892,4.063833822,3.516147498
7/1/23,202307,CPIinflationrate,3.27,4.123454541,4.003940207,3.128667135
8/1/23,202308,CPIinflationrate,4,4.119530951,3.965417838,3.228698752
9/1/23,202309,CPIinflationrate,3.8,4.084171025,3.920026541,2.606541529
10/1/23,202310,CPIinflationrate,3.12,4.008135871,3.834224379,2.659847611
11/1/23,202311,CPIinflationrate,3.12,3.941818418,3.742311794,2.430622512
12/1/23,202312,CPIinflationrate,3.4,3.89196086,3.682965027,2.035720876
1/1/24,202401,CPIinflationrate,2.86,3.746876792,3.509593076,1.327067697
2/1/24,202402,CPIinflationrate,2.78,3.726897122,3.455027755,1.389433037
3/1/24,202403,CPIinflationrate,2.9,3.631999063,3.366006334,1.046015728
