date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/22,202204,OilpriceGlobalWTI,101.99,105.4597776,110.6513568,78.59028947
5/1/22,202205,OilpriceGlobalWTI,109.71,102.8617636,108.75158,72.15064943
6/1/22,202206,OilpriceGlobalWTI,114.68,99.89620245,105.5524995,71.10629609
7/1/22,202207,OilpriceGlobalWTI,101.92,98.54606747,103.4191239,72.78976768
8/1/22,202208,OilpriceGlobalWTI,93.69,96.81500474,101.6099957,71.44907909
9/1/22,202209,OilpriceGlobalWTI,84.4,96.99528989,101.4522087,68.31527536
10/1/22,202210,OilpriceGlobalWTI,87.29,95.46521544,100.1541468,64.2741078
11/1/22,202211,OilpriceGlobalWTI,84.08,95.87287598,100.2794816,58.84777774
12/1/22,202212,OilpriceGlobalWTI,76.58,95.50292612,100.2864439,54.6698189
1/1/23,202301,OilpriceGlobalWTI,78.25,94.40418826,99.55113362,55.51976631
2/1/23,202302,OilpriceGlobalWTI,77.03,93.61510289,98.73842047,53.90818604
3/1/23,202303,OilpriceGlobalWTI,73.35,91.99695536,97.14541567,49.77747676
4/1/23,202304,OilpriceGlobalWTI,79.13,91.13515466,95.85034777,55.41119534
5/1/23,202305,OilpriceGlobalWTI,71.67,91.05285112,95.68606757,58.68114713
6/1/23,202306,OilpriceGlobalWTI,70.31,90.62086947,95.63311305,61.46963912
7/1/23,202307,OilpriceGlobalWTI,75.77,91.37165231,96.45682199,64.72636703
8/1/23,202308,OilpriceGlobalWTI,81.37,91.56044289,96.87345601,65.25223321
9/1/23,202309,OilpriceGlobalWTI,89.24,91.13422275,96.68569087,65.69141506
10/1/23,202310,OilpriceGlobalWTI,85.47,91.32939278,96.79767887,65.24168843
11/1/23,202311,OilpriceGlobalWTI,77.58,92.76545111,97.75043083,64.23712909
12/1/23,202312,OilpriceGlobalWTI,72.02,93.96223911,99.10802119,60.47717364
1/1/24,202401,OilpriceGlobalWTI,74,94.42473807,99.88483004,63.15662516
2/1/24,202402,OilpriceGlobalWTI,77.36,94.40420746,99.77500136,62.72833789
3/1/24,202403,OilpriceGlobalWTI,81.41,95.02514661,99.61093658,59.54773001
