date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/23,202304,Unemploymentrate,7,6.988023694,6.91229167,7.639086035
5/1/23,202305,Unemploymentrate,7,6.991407144,6.889270382,8.060834771
6/1/23,202306,Unemploymentrate,6.9,6.980557703,6.873617924,8.239533737
7/1/23,202307,Unemploymentrate,7.2,6.992196006,6.896116905,8.715083342
8/1/23,202308,Unemploymentrate,7.8,6.982622722,6.8989155,8.818703082
9/1/23,202309,Unemploymentrate,7.5,6.989463088,6.908952333,8.555500583
10/1/23,202310,Unemploymentrate,7.7,7.027578356,6.949937257,8.472854242
11/1/23,202311,Unemploymentrate,7.7,7.065615597,7.00259071,8.463101325
12/1/23,202312,Unemploymentrate,7.7,7.085667863,7.058082447,8.040744297
1/1/24,202401,Unemploymentrate,7.8,7.19788659,7.171133689,8.348888176
2/1/24,202402,Unemploymentrate,7.6,7.187139694,7.222863838,8.278495316
3/1/24,202403,Unemploymentrate,7.3,7.237793941,7.319944713,8.338834673
