date,year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/22,202204,OilpriceGlobalWTI,101.99,104.0743653,110.9849939,70.87453538
5/1/22,202205,OilpriceGlobalWTI,109.71,100.4201726,109.1261327,62.60461204
6/1/22,202206,OilpriceGlobalWTI,114.68,96.601801,106.1107903,58.57749491
7/1/22,202207,OilpriceGlobalWTI,101.92,94.54762421,104.0613413,57.42016504
8/1/22,202208,OilpriceGlobalWTI,93.69,91.95750341,102.1109983,54.73111828
9/1/22,202209,OilpriceGlobalWTI,84.4,91.10309929,101.4474264,55.12827475
10/1/22,202210,OilpriceGlobalWTI,87.29,88.66257495,99.86828205,53.0635974
11/1/22,202211,OilpriceGlobalWTI,84.08,87.91506344,99.32932146,55.95942866
12/1/22,202212,OilpriceGlobalWTI,76.58,86.77498814,98.90173792,52.92221392
1/1/23,202301,OilpriceGlobalWTI,78.25,84.83901091,97.9386251,54.79242164
2/1/23,202302,OilpriceGlobalWTI,77.03,83.40068367,97.04853639,54.40534222
3/1/23,202303,OilpriceGlobalWTI,73.35,81.16963094,95.48631112,55.03132852
4/1/23,202304,OilpriceGlobalWTI,79.13,79.7217771,94.4115178,54.19215088
5/1/23,202305,OilpriceGlobalWTI,71.67,79.21198897,94.32426456,54.81460148
6/1/23,202306,OilpriceGlobalWTI,70.31,78.20933414,94.27082162,53.46380361
7/1/23,202307,OilpriceGlobalWTI,75.77,78.13756864,94.62408141,59.73355686
8/1/23,202308,OilpriceGlobalWTI,81.37,77.52267409,94.89364936,61.66343087
9/1/23,202309,OilpriceGlobalWTI,89.24,76.44112604,94.41872745,62.76674332
10/1/23,202310,OilpriceGlobalWTI,85.47,75.81545768,94.42168784,60.17253197
11/1/23,202311,OilpriceGlobalWTI,77.58,76.20866818,95.23033753,63.78867568
12/1/23,202312,OilpriceGlobalWTI,72.02,76.36355705,95.98866062,54.437291
1/1/24,202401,OilpriceGlobalWTI,74,76.04618314,96.62954178,58.18728604
2/1/24,202402,OilpriceGlobalWTI,77.36,76.06497605,97.26502564,61.25000487
3/1/24,202403,OilpriceGlobalWTI,81.41,76.49880086,97.8431548,61.38869834
