date,year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/23,202304,RealbroadEER,99.75,98.59409417,98.3905174,100.8098361
5/1/23,202305,RealbroadEER,100.09,98.27829197,97.95016831,101.8092962
6/1/23,202306,RealbroadEER,101.92,98.45349806,98.2090306,102.1311983
7/1/23,202307,RealbroadEER,102.53,98.29073157,98.15027493,101.2241236
8/1/23,202308,RealbroadEER,101.05,98.72541181,98.37424489,100.9713901
9/1/23,202309,RealbroadEER,100.86,98.93491554,98.6513186,102.7979262
10/1/23,202310,RealbroadEER,100.16,98.94680055,98.76835883,102.2759491
11/1/23,202311,RealbroadEER,99.56,99.10319516,99.05441047,101.3567528
12/1/23,202312,RealbroadEER,100.85,99.04656528,99.05198984,98.7526296
1/1/24,202401,RealbroadEER,100.68,99.03265965,99.43033924,98.30690491
2/1/24,202402,RealbroadEER,100.03,99.23320154,99.61484435,98.88302912
3/1/24,202403,RealbroadEER,99.79,98.73412814,99.15296118,99.28946565
