date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/23,202304,ShorttermIR,3.17,2.972832409,3.051578843,1.848328861
5/1/23,202305,ShorttermIR,3.37,3.021843853,3.123920353,1.71496776
6/1/23,202306,ShorttermIR,3.54,3.088915706,3.18540472,1.477293457
7/1/23,202307,ShorttermIR,3.67,3.143253017,3.234034887,1.467646358
8/1/23,202308,ShorttermIR,3.78,3.217903972,3.282886987,1.41334239
9/1/23,202309,ShorttermIR,3.88,3.287610372,3.332433066,1.452582843
10/1/23,202310,ShorttermIR,3.97,3.344056594,3.373260148,1.455376376
11/1/23,202311,ShorttermIR,3.97,3.406418487,3.405513503,1.691797935
12/1/23,202312,ShorttermIR,3.93,3.467136544,3.434446502,1.960280757
1/1/24,202401,ShorttermIR,3.93,3.510305253,3.434130664,2.033225949
2/1/24,202402,ShorttermIR,3.92,3.580352365,3.438678651,2.255065532
3/1/24,202403,ShorttermIR,3.92,3.621563546,3.446439768,2.175254598
