date,year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/22,202204,ShorttermIR,1.35,0.877423258,1.001476094,1.701867064
5/1/22,202205,ShorttermIR,1.78,0.873647324,1.000287625,1.773282512
6/1/22,202206,ShorttermIR,2.25,0.880990905,0.928816133,1.700530769
7/1/22,202207,ShorttermIR,3.03,0.903582958,0.833005817,1.56256631
8/1/22,202208,ShorttermIR,3.38,0.945382058,0.738718302,1.714170848
9/1/22,202209,ShorttermIR,3.79,0.958831776,0.647114406,1.646163745
10/1/22,202210,ShorttermIR,4.23,0.981871145,0.550770211,1.513298521
11/1/22,202211,ShorttermIR,4.38,0.976443233,0.454725328,1.401788095
12/1/22,202212,ShorttermIR,4.55,1.011582114,0.378446719,1.171704227
1/1/23,202301,ShorttermIR,4.76,1.05696224,0.312451082,1.402162654
2/1/23,202302,ShorttermIR,4.69,1.109974635,0.255883485,1.190377102
3/1/23,202303,ShorttermIR,4.78,1.152805987,0.192500578,1.263630587
4/1/23,202304,ShorttermIR,4.8,1.212764533,0.139670588,1.131969353
5/1/23,202305,ShorttermIR,4.79,1.261264211,0.098619141,1.121633062
6/1/23,202306,ShorttermIR,5.02,1.303565302,0.065176945,1.177477519
7/1/23,202307,ShorttermIR,5.22,1.323178567,0.031961412,1.245601962
8/1/23,202308,ShorttermIR,5.23,1.364391523,0.007427799,1.226905522
9/1/23,202309,ShorttermIR,5.23,1.379453291,-0.03427442,1.196874317
10/1/23,202310,ShorttermIR,5.32,1.410373267,-0.069002887,1.158834289
11/1/23,202311,ShorttermIR,5.24,1.439102101,-0.092712181,1.288787652
12/1/23,202312,ShorttermIR,5.19,1.40724245,-0.137422272,1.135308563
1/1/24,202401,ShorttermIR,5.17,1.381504604,-0.194092163,1.20852385
2/1/24,202402,ShorttermIR,5.09,1.375661052,-0.264910392,1.092946376
3/1/24,202403,ShorttermIR,5.04,1.310579971,-0.377451301,1.196141799
