date,year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/23,202304,Unemploymentrate,5.2,5.321021364,5.459079776,6.150146564
5/1/23,202305,Unemploymentrate,5.2,5.406251349,5.543264869,6.016079669
6/1/23,202306,Unemploymentrate,5.2,5.339979306,5.527887579,6.021256088
7/1/23,202307,Unemploymentrate,5.9,5.38679886,5.556270504,6.647711175
8/1/23,202308,Unemploymentrate,6.3,5.286123527,5.490397312,6.295314565
9/1/23,202309,Unemploymentrate,5.2,5.272983208,5.470111128,6.352979454
10/1/23,202310,Unemploymentrate,5.3,5.391610689,5.549424719,6.325932465
11/1/23,202311,Unemploymentrate,5.3,5.464857035,5.607102493,6.821421325
12/1/23,202312,Unemploymentrate,5.3,5.556010679,5.669455024,8.344899898
1/1/24,202401,Unemploymentrate,6.1,5.824503483,5.885918228,8.956129289
2/1/24,202402,Unemploymentrate,6,5.744756042,5.816108038,9.345188016
3/1/24,202403,Unemploymentrate,6.4,5.979249892,5.997787646,9.350530931
